Cidade,Resumo,Ocorrencias,TB_Medio_Horas
"Carlópolis","Indisponibilidade / Queda de Serviço",52,40.9
"Ourinhos","Indisponibilidade / Queda de Serviço",51,42.2
"Fartura","Indisponibilidade / Queda de Serviço",32,63.6
"Piraju","Indisponibilidade / Queda de Serviço",22,97.3
"Santa Cruz do Rio Pardo","Indisponibilidade / Queda de Serviço",17,126.6
"Cerqueira César","Indisponibilidade / Queda de Serviço",16,132.6
"Ipaussu","Indisponibilidade / Queda de Serviço",16,116.2
"Manduri","Indisponibilidade / Queda de Serviço",16,115.3
"Taguaí","Indisponibilidade / Queda de Serviço",12,135.1
"Bernardino de Campos","Indisponibilidade / Queda de Serviço",11,173.5
"Timburi","Indisponibilidade / Queda de Serviço",9,199.4
"Tejupa","Indisponibilidade / Queda de Serviço",9,216.2
"Ribeirão Claro","Indisponibilidade / Queda de Serviço",8,281.2
"Aguas de Santa Bárbara","Indisponibilidade / Queda de Serviço",8,251.1
"Chavantes","Indisponibilidade / Queda de Serviço",7,189.7
"São Pedro do Turvo","Indisponibilidade / Queda de Serviço",5,257.4
"Oleo","Indisponibilidade / Queda de Serviço",4,323.8
"Canitar","Indisponibilidade / Queda de Serviço",3,876.5
"Salto do Itararé","Indisponibilidade / Queda de Serviço",3,640.3
"Ourinhos","our_a7_cto_08f - los",3,105.1
"Tejupa","tjp bairro felix - intermitente",2,0.0
"Chavantes","chv_cx_22",2,0.0
"Ourinhos","link brasil - intermitente",2,328.0
"Fartura","ftrap_torretv_left_ac barrando em 100mb",2,1.2
"Ipaussu","ip motel castelinho - intermitente",2,17.1
"Salto Grande","Indisponibilidade / Queda de Serviço",2,959.8
"Carlópolis","ilha bela - superaquecimento - indisponibilidade",2,17.3
"Sarutaia","Indisponibilidade / Queda de Serviço",2,0.0
"Ourinhos","wix - apresentando instabilidade.",2,102.3
"Chavantes","caixa chv_cx_80 atenuada",2,0.3
"Canitar","ct_cx_30a - sinal alto",2,4.6
